col_id,old,new
104,19.1.a. Romanoj / rakontoj - Mi legas,literature_read
105,19.1.b. Romanoj / rakontoj - Mi skribas,literature_write
106,19.1.c. Romanoj / rakontoj - Komentoj,literature_comments
107,19.2.a. Gazetoj (precizigu) - Mi legas,newspapers_read
108,19.2.b. Gazetoj (precizigu) - Mi skribas,newspapers_write
109,19.2.c. Gazetoj (precizigu) - Komentoj,newspapers_comments
110,19.3.a. LerNoja materialo (precizigu) - Mi legas,teaching_read
111,19.3.b. LerNoja materialo (precizigu) - Mi skribas,teaching_write
112,19.3.c. Lerneja materialo (precizigu) - Komentoj,teaching_comments
113,19.4.a. Prospektoj/flugfolioj - Mi legas,flyers_read
114,19.4.b. Prospektoj/flugfolioj - Mi skribas,flyers_write
115,19.4.c. Prospektoj/flugfolioj - Komentoj,flyers_comments
116,19.5.a. Aliaj reklamaj materialoj (precizigu) - Mi legas,other_promo_read
117,19.5.b. Aliaj reklamaj materialoj (precizigu) - Mi skribas,other_promo_write
118,19.5.c. Aliaj reklamaj materialoj (precizigu) - Komentoj,other_promo_comments
119,19.6.a. Aliaj presitaj materialoj (precizigu) - Mi legas,other_print_read
120,19.6.b. Aliaj presitaj materialoj (precizigu) - Mi skribas,other_print_write
121,19.6.c. Aliaj presitaj materialoj (precizigu) - Komentoj,other_print_comments
122,19.7.a. Tekstmesaĝado - Mi legas,texts_read
123,19.7.b. Tekstmesaĝado - Mi skribas,texts_write
124,19.7.c. Tekstmesaĝado - Komentoj,texts_comments
125,19.8.a. Retpoŝto - Mi legas,email_read
126,19.8.b. Retpoŝto - Mi skribas,email_write
127,19.8.c. Retpoŝto - Komentoj,email_comments
128,19.9.a. Facebook - Mi legas,facebook_read
129,19.9.b. Facebook - Mi skribas,facebook_write
130,19.9.c. Facebook - Komentoj,facebook_comments
131,19.10.a. WhatsApp - Mi legas,whatsapp_read
132,19.10.b. WhatsApp - Mi skribas,whatsapp_write
133,19.10.c. WhatsApp - Komentoj,whatsapp_comments
134,19.11.a. Sociaj amaskomunikiloj - Mi legas,socialmedia_read
135,19.11.b. Sociaj amaskomunikiloj - Mi skribas,socialmedia_write
136,19.11.c. Sociaj amaskomunikiloj - Komentoj,socialmedia_comments
137,19.12.a. Alia - Mi legas,other_read
138,19.12.b. Alia - Mi skribas,other_write
139,19.12.c. Alia - Komentoj,other_comments_21
140,"20. TV, radioprogramoj kaj interreto en Esperanto",Q20
141,20.1.a. Televidaj programoj (precizigu kia) - Kiom ofte?,watch_TV_how_often
142,20.1.b. Televidaj programoj (precizigu kia) - Komentoj,watch_TV_what
143,20.2.a. Radioprogramoj (precizigu kia) - Kiom ofte?,radio_how_often
144,20.2.b. Radioprogramoj (precizigu kia) - Komentoj,radio_what
145,20.3.a. Interreto (precizigu kia) - Kiom ofte?,listen_watch_online_how_often
146,20.3.b. Interreto (precizigu kia) - Komentoj,listen_watch_online_what
147,21. Ĉu vi ŝatas paroli Esperanton? Kial?,like_speaking_esperanto_eo
148,Likes speaking Esperanto,like_speaking_esperanto
149,Why dis-likes,why_dis_likes_esperanto
150,"22. Se vi havas/havos infanojn, kian lingvon/jn vi parolus al ili?",would_teach_children_eo
151,Teach children,would_teach_children
152,"23. Ĉu vi pensas, ke oni devus konservi Esperanton? Kial?",should_be_maintained_eo
153,Should be maintained,should_be_maintained
154,"24. Kion devus farigi por konservi Esperanton, kaj kiu devus fari ĝin?",what_should_be_done
155,25. Kie kaj kiam oni devus uzi Esperanton? Kial?,where_when_speak_emilian
156,"26. Ĉu vi pensas, ke Esperanto devus esti studata en lernejoj / universitatoj? Kial?",taught_at_school_eo
157,Teach at school,taught_at_school
158,"27. Ĉu vi pensas, ke Esperanto devus esti uzata kiel instrua lingvo en lernejoj / universitatoj? Kial?",used_to_teach_eo
159,Teach in Esperanto,used_to_teach
160,"28. Kiel vi difinus vin rilate al identeco? (Ekz .: esperantisto, eŭropano, ktp ...)",identity
161,29. Kion signifas esti esperantisto?,esperantisto
162,30. Kioj estas la komunaj valoroj de la Esperanto-komunumo?,common_values
163,"31. Al kiuj aliaj komunumoj vi apartenas? Ekzemple: vegano, ekologiisto ktp",other_communities
164,"32. Kiel vi instinkte konsideras homon, kiu parolas Esperanton?: Indiku por ĉiu ero en la tabelo (a-h) unu el la kvin opcioj depende de kiom vi konsentas atribui unu el la du adjektivoj ĉe la fino de la tablo al parolanta Esperanton. Se vi ne havas fortajn opiniojn pri la markita trajto, signalu opcion 3, kiu signifas ""por mi ĝi estas indiferenta"". Memoru, ke la taksadoj donitaj devas esti nur impresoj pri homo, kiu parolas Esperanton kaj tial instinkte atribuita:",Q32
165,EDUCATED,educated
166,INTELLIGENT,intelligent
167,DILIGENT,diligent
168,FRIENDLY,friendly
169,KIND,kind
170,TRUSTWORTHY,trustworthy
171,REFINED,refined
172,FAMILIAR,familiar
173,"33. Kiun vort-ordon vi kutime uzas? (Ekz .: ""subjekto, verbo, objekto"", aŭ ""objekto, subjekto, verbo"")",word_order
174,"34. Se vi havas ekzemplojn de vortoj aŭ aliaj esprimoj, kiujn vi uzas sed ne estas vaste uzataj en la esperantista komunumo, bonvolu skribi ilin ĉi-sube",other_words
175,"35. Kion vi opinias pri novigoj en Esperanto? Ĉu vi emas uzi ilin tuj, aŭ ĉu vi preferas agordi kun pli malnovaj manieroj?",new_learners
